Province,Division,District,Households,Pop2023,AHS,Pop2017,GR,DistrictKey,Disab_Communication,Disab_Disability,Disab_Functional_limitation,Disab_Hearing,Disab_Memorization_Focus,Disab_Population,Disab_Seeing,Disab_Self_care_etc,Disab_Walking_Climbing,Lang_BALOCHI,Lang_BALTI,Lang_BRAHVI,Lang_HINDKO,Lang_KALASHA,Lang_KASHMIRI,Lang_KOHIOSTANI,Lang_MEWATI,Lang_OTHERS,Lang_PUNJABI,Lang_PUSHTO,Lang_SARAIKI,Lang_SHINA,Lang_SINDHI,Lang_TOTAL,Lang_URDU,EverAttended,Lit_GE10,OutOfSchool_5_16,Pop_GE10,Pop_GE5,Literacy_01,Literacy_Flag,Attendance_01,Attendance_Flag,Energy_HOUSEHOLDS,Energy_LIGHT_ELECT,Energy_LIGHT_SOLAR,Energy_LIGHT_OTHERS,Energy_FUEL_GAS,Energy_FUEL_LPGCNG,Energy_FUEL_FIREWOOD,Energy_FUEL_OTHERS,Energy_SEP_KITCHEN,Energy_NO_KITCHEN,Energy_Access_Electricity,Energy_Flag_Elec,San_HOUSEHOLDS,San_TOILET_SEPARATE,San_TOILET_FLUSH,San_TOILET_NON_FLUSH,San_TOILET_NONE,San_WASHROOM_SEPARATE,San_WASHROOM_NONE,San_Access_SanitaryToilet,San_Flag,Wtr_HOUSEHOLDS,Wtr_DRINK_WTR_IMPROVE,Wtr_DRINK_WTR_INSIDE,Wtr_DRINK_WTR_OUTSIDE,Wtr_DRINK_WTR_TAP,Wtr_DRINK_WTR_MOTOR,Wtr_DRINK_WTR_WELL,Wtr_DRINK_WTR_FILTER,Wtr_DRINK_WTR_BOTTLE,Wtr_DRINK_WTR_OTHER,Wtr_Access_ImprovedDrink,Wtr_Flag,Age_TotalPop,Age_Male,Age_Female,Age_Trans,Age_Rural,Age_Urban,Marital_DIVORCED,Marital_MARRIED,Marital_NEVER_MARRIED,Marital_SEPERATION,Marital_WIDOWED
Punjab,Gujranwala,Mandi Bahauddin,286168,1829486,6.39,1594039,2.33,MANDI BAHAUDDIN,28782,73069,282049,59862,41495,1829152,51197,32824,84986,734,27,1,129,0,153,827,17,599,1704687,32304,2800,40,3248,1829152,83586,1116321,963813,110399,1371605,1579976,0.7026899143703909,âœ“,0.7065430107799106,âœ“,285989,280407,2089,3493,100920,25918,154573,4578,217408,45330,0.98048176678124,âœ“,285989,224264,248405,6741,30843,225606,30060,0.8685823580627227,âœ“,285989,280729,165495,120494,76897,159440,568,43416,251,5417,0.9816076842116304,âœ“,1829152,916966,912047,139,1483259,345893,5487,747615,353529,2062,58185
Punjab,Gujranwala,Narowal,281628,1950954,6.93,1707575,2.25,NAROWAL,21755,59839,191981,39067,29138,1950769,36206,21119,62673,54,22,1,95,14,58,1,44491,530,1839288,2204,1032,12,3489,1950769,59478,1285365,1096110,79034,1455970,1686029,0.7528383139762496,âœ“,0.7623623318460121,âœ“,281536,278132,2095,1309,39184,19348,140540,82464,213993,44855,0.987909183905433,âœ“,281536,238888,265022,4014,12500,232544,20041,0.941343203000682,âœ“,281536,278211,240332,41204,31478,232453,797,13464,33,3311,0.9881897874516936,âœ“,1950769,996357,954327,85,1601749,349020,4787,774878,393023,938,50765
Punjab,Gujranwala,Sialkot,671589,4499394,6.7,3894938,2.44,SIALKOT,42086,128725,360549,71364,54587,4472462,66039,41041,120765,632,158,7,1530,40,794,353,56787,4533,4115055,54699,10159,213,10151,4472462,217351,3083599,2630257,153560,3356203,3865938,0.783700211220835,âœ“,0.797632812528292,âœ“,671320,661303,5458,4559,382226,73327,118266,97501,541028,66313,0.985078651015909,âœ“,671320,579321,644597,10291,16432,571393,25060,0.9601933504141096,âœ“,671320,664795,411849,259471,87329,397596,1860,177626,419,6490,0.990280343204433,âœ“,4472462,2265012,2206591,859,3017087,1455375,12099,1780354,915242,2987,129682
Punjab,Lahore,Kasur,645838,4084286,6.32,3454881,2.84,KASUR,41556,108621,377807,78782,56980,4081568,73185,40784,123837,584,76,15,296,131,242,53,470749,13097,3440450,7855,3854,66,7041,4081568,137059,2194254,1844344,274362,2934580,3447800,0.6284865295885612,âœ“,0.6364214861650908,âœ“,645308,632923,5001,7384,171732,25556,387429,60591,322158,230003,0.9808076143484972,âœ“,645308,449156,603103,9150,33055,427038,63077,0.9345971226143176,âœ“,645308,631491,485439,159869,156320,432973,2997,33782,2375,16861,0.978588518970786,âœ“,4081568,2085912,1995257,399,2840199,1241369,10280,1596156,754267,4318,91504
Punjab,Lahore,Lahore,2012526,13004135,6.46,11119985,2.65,LAHORE,145842,403707,1432780,299526,208902,12978661,255140,171939,435865,4266,2675,176,33061,179,12165,543,260544,15682,9549169,267809,62016,1282,27074,12978661,2742020,8628495,7760203,718199,9746671,11151025,0.7961901042930453,âœ“,0.773784921117117,âœ“,2010225,1972051,21580,16594,1700707,150393,124237,34888,1605996,139307,0.981010085935654,âœ“,2010225,1678820,1921046,52476,36703,1636565,83721,0.955637304281859,âœ“,2010225,1970577,1284670,725555,819641,602125,6897,488946,51476,41140,0.9802768346826848,âœ“,12978661,6869574,6105711,3376,0,12978661,32171,5278345,2709923,11877,295912
Punjab,Lahore,Nankana Sahib,247121,1634871,6.62,1354986,3.19,NANKANA SAHIB,16098,37175,136656,30191,21508,1634871,25783,15273,42511,137,6,0,218,0,52,1,3827,523,1589827,4890,953,18,3706,1634871,30713,911753,761403,108439,1206271,1409245,0.6312039334444748,âœ“,0.6469797657610991,âœ“,246956,242186,2053,2717,96876,7387,116433,26260,140272,81869,0.9806848183482078,âœ“,246956,186801,222957,4025,19974,182014,26256,0.9028207453959408,âœ“,246956,228307,80874,166082,39551,131395,641,47064,1148,27157,0.9244845235588526,âœ“,1634871,831931,802859,81,1311483,323388,4885,655150,308598,1675,42540
Punjab,Lahore,Sheikhupura,593506,4049418,6.82,3460004,2.66,SHEIKHUPURA,36573,107514,329440,67261,49745,4049377,59946,37787,106419,457,79,517,2001,16,1525,34,10566,2443,3782194,38427,4775,45,8223,4049377,198075,2363139,2040443,262076,2962186,3445605,0.6888301409837194,âœ“,0.685841528555943,âœ“,593260,583434,5169,4657,321416,50960,171768,49116,423056,105662,0.9834372787647911,âœ“,593260,493564,569941,9699,13620,484694,24649,0.9606934564946228,âœ“,593260,577250,422150,171110,95274,390024,2900,81527,555,22980,0.9730135185247616,âœ“,4049377,2079359,1969412,606,2498625,1550752,8226,1606381,785326,3134,87956
Punjab,Multan,Khanewal,526609,3364077,6.39,2920233,2.39,KHANEWAL,46202,119105,431015,92614,64825,3363589,78248,48762,132916,819,31,10,2289,2,385,2,2567,24421,2368354,36657,652794,0,4574,3363589,270684,1778384,1497449,270019,2456148,2888710,0.6096737655874157,âœ“,0.6156325834022799,âœ“,526196,505318,4355,16523,127058,11552,376727,10859,263552,213637,0.9603227694623296,âœ“,526196,383934,461957,12133,52106,366055,75059,0.8779181141627834,âœ“,526196,518533,480674,45522,66842,426972,1282,22239,458,8403,0.9854369854578904,âœ“,3363589,1734421,1628782,386,2646990,716599,11470,1344577,596201,4761,100670
Punjab,Multan,Lodhran,324020,1928299,5.95,1699693,2.13,LODHRAN,18350,42812,137118,30334,22998,1926357,26671,14342,45342,478,3,253,6482,12,566,6,42196,32535,293310,4919,1421611,2,500,1926357,123484,871116,716142,214246,1385693,1647480,0.5168114438046523,âœ“,0.5287566465146769,âœ“,323866,309294,2589,11983,34907,6141,251882,30936,140788,139387,0.955006082762624,âœ“,323866,206679,277767,7364,38735,192514,58458,0.8576602669005082,âœ“,323866,312562,251892,71974,52608,224694,2184,24451,2349,17580,0.9650966757856644,âœ“,1926357,996914,929326,117,1603155,323202,5100,781143,311001,2600,50159
Punjab,Multan,Multan,887304,5362305,6.04,4746166,2.06,MULTAN,59072,151125,535148,111168,81223,5340762,99718,58548,172293,6287,94,87,4563,10,1782,32,49954,24086,854421,36574,3412395,58,4051,5340762,946368,2839095,2421172,475376,3942603,4610487,0.6141049453876031,âœ“,0.6157906962973759,âœ“,886392,863945,5641,16806,407704,38414,414045,26229,476888,305646,0.974675989855504,âœ“,886392,638044,795090,17900,73402,598038,127874,0.8969959115154469,âœ“,886392,867724,734931,151461,141742,631922,2529,86811,2995,20393,0.9789393406077672,âœ“,5340762,2720277,2620078,407,2859260,2481502,14058,2186181,957437,7343,143991
Punjab,Multan,Vehari,543384,3430421,6.31,2902081,2.83,VEHARI,30316,80187,223914,48335,36584,3428191,41862,24726,72508,738,2,77,584,5,723,8,4038,14141,2540236,8002,655441,1,4255,3428191,199940,1732796,1470060,307383,2487435,2919141,0.5909943375404785,âœ“,0.5935979111663329,âœ“,543036,524787,4330,13919,77259,23952,407202,34623,292708,200961,0.9663944931827724,âœ“,543036,409222,476446,15065,51525,394473,69786,0.8773746123645578,âœ“,543036,528449,444737,98299,64148,408950,3123,51094,833,14888,0.9731380608283796,âœ“,3428191,1733665,1694087,439,2645727,782464,11297,1384160,597104,4878,92793
Punjab,Rawalpindi,Attock,354235,2170423,6.13,1886378,2.37,ATTOCK,26930,91912,220659,43115,34328,2133005,41161,25066,74888,1105,171,125,307305,20,4224,5798,100,17442,1391285,332481,8665,782,6379,2133005,57123,1350821,1165399,96795,1659542,1890704,0.7022413412857282,âœ“,0.7144539811625722,âœ“,353973,340043,7536,6394,187997,11866,150967,3143,304829,23538,0.9606467159924628,âœ“,353973,309451,328013,8738,17222,301365,26586,0.9266610730196936,âœ“,353973,334155,278201,75772,68990,237318,27543,2572,361,17189,0.944012678933139,âœ“,2133005,1071693,1061231,81,1546356,586649,7726,930316,421244,1738,67697
Punjab,Rawalpindi,Chakwal,288997,1734854,6,1495463,2.51,CHAKWAL,23386,86432,188201,35422,28921,1731689,33031,21596,64943,666,123,2,2541,3,1084,260,13,429,1593793,94711,5623,325,3439,1731689,28677,1182981,1037126,60787,1333288,1508682,0.7778709476122189,âœ“,0.7841155392587702,âœ“,288838,280118,4888,3832,88152,25539,170895,4252,255459,18369,0.9698100665424908,âœ“,288838,251659,264076,7848,16914,250944,18383,0.9142702829960048,âœ“,288838,275440,234788,54050,36486,225246,8457,1457,281,16911,0.9536141366440704,âœ“,1731689,862509,869091,89,1296931,434758,9917,740494,337740,2419,69423
Punjab,Rawalpindi,Jhelum,229227,1382308,6.03,1222403,2.08,JHELUM,18428,67316,129984,25103,21532,1366297,24452,15092,45571,603,140,11,1786,11,1746,343,33,44295,1213526,37268,3649,176,4730,1366297,57980,999332,872137,42117,1081370,1219023,0.8065111848858393,âœ“,0.8197810869852332,âœ“,229064,224574,2391,2099,42313,67504,117362,1885,197967,14051,0.9803984912513534,âœ“,229064,196698,211985,4381,12698,196061,13729,0.9254400516886112,âœ“,229064,218939,178752,50312,45861,151613,12028,9233,145,10184,0.9557983794921944,âœ“,1366297,695983,670216,98,837927,528370,7340,597017,283400,1769,51018
Punjab,Rawalpindi,Rawalpindi,999347,6118911,6.12,5402380,2.1,RAWALPINDI,78289,267966,650571,126763,102401,6058540,119402,75631,220739,3911,7652,370,236986,208,89835,10921,522,382852,3596866,630908,40031,11101,17362,6058540,1029015,4432758,3909007,239415,4696941,5337821,0.8322452847502236,âœ“,0.8304433588162661,âœ“,998000,982345,8865,6790,699289,73361,217507,7843,860367,43908,0.984313627254509,âœ“,998000,871788,947903,26351,23746,828974,69238,0.9498026052104208,âœ“,998000,925431,608526,389474,295339,439923,65199,88040,6828,102671,0.9272855711422846,âœ“,6058540,3080830,2976366,1344,1907111,4151429,17404,2553432,1289310,5621,174094
Punjab,Sahiwal,Okara,550057,3515490,6.39,3040826,2.45,OKARA,36554,87309,335509,72081,51192,3503451,63473,36469,106065,2175,211,18,535,28,228,31,17043,484,3298765,12389,1243,363,7353,3503451,162585,1847093,1533378,264889,2544906,2992955,0.602528344858317,âœ“,0.6171469333818919,âœ“,549724,535069,4689,9966,199335,11496,276230,62663,283289,211468,0.9733411675677248,âœ“,549724,403059,490449,9222,50053,382472,75607,0.8921731632601088,âœ“,549724,539105,415744,133980,67009,407064,2761,58799,850,13241,0.9806830336678042,âœ“,3503451,1783966,1719150,335,2327975,1175476,15067,1405894,614571,6143,94811
Punjab,Sahiwal,Pakpattan,344744,2136170,6.2,1824228,2.67,PAKPATTAN,25843,67500,235050,49432,35769,2135511,45432,25607,76092,1449,0,0,25,0,44,1,521,10648,2037708,6963,367,0,2962,2135511,74823,1070376,869422,176009,1521954,1795762,0.5712537961068469,âœ“,0.5960567157563196,âœ“,344546,333125,2353,9068,32750,14721,224631,72444,125292,188915,0.9668520313688158,âœ“,344546,232682,294982,7892,41672,213160,67050,0.8561469295826972,âœ“,344546,330777,288629,55917,53087,260406,2639,13892,200,14322,0.9600372664317682,âœ“,2135511,1085000,1050351,160,1662991,472520,10062,834374,359705,4831,61393
Punjab,Sahiwal,Sahiwal,446787,2881811,6.45,2513011,2.31,SAHIWAL,38708,112197,376867,77300,55247,2878122,68930,43079,119297,530,42,7,119,0,75,0,47,1865,2790216,14073,729,3,4716,2878122,65700,1585191,1364032,209761,2105939,2454662,0.6477072697737208,âœ“,0.6457878925896926,âœ“,446606,430605,3891,12110,100975,23891,306549,15191,247218,161308,0.9641719994805265,âœ“,446606,343187,397106,8635,40865,330440,56506,0.8891640506397137,âœ“,446606,438237,335800,110806,50187,313235,1134,72027,323,9700,0.9812608876728032,âœ“,2878122,1458981,1418988,153,2124128,753994,10911,1153871,527636,4301,86359
Punjab,Sargodha,Bhakkar,313559,1957470,6.24,1647852,2.92,BHAKKAR,27726,94200,237416,46889,36429,1956971,43351,26930,79615,777,15,5,1322,0,544,24,3499,11783,190358,47246,1554207,7,490,1956971,146694,928955,758886,154352,1363047,1606888,0.556757030388534,âœ“,0.5781081195453572,âœ“,313311,277723,13570,22018,12109,7280,274586,19336,157235,117434,0.8864131805139303,âœ“,313311,196921,254704,5488,53119,188119,65211,0.812943050196131,âœ“,313311,310053,306864,6447,53333,256153,573,39,9,3204,0.9896013864818024,âœ“,1956971,1016124,940770,77,1604680,352291,3956,757599,340189,1893,42528
Punjab,Sargodha,Khushab,248449,1501089,6.04,1280372,2.69,KHUSHAB,21918,62373,183528,37583,28654,1500835,34841,19467,63000,216,14,6,252,7,1645,1,17727,4336,1386448,30712,35855,54,2157,1500835,21405,836456,706088,84809,1129307,1293611,0.6252400808637509,âœ“,0.6466055096934086,âœ“,248304,221269,9139,17896,40837,6950,184779,15738,174167,49991,0.8911213673561441,âœ“,248304,175122,203503,5964,38837,170448,43511,0.8195719762871319,âœ“,248304,235331,156678,91626,83163,135709,2001,3328,479,23624,0.9477535601520716,âœ“,1500835,768006,732780,49,1082124,418711,6518,623489,288541,3156,49134
Punjab,Sargodha,Mianwali,296614,1798268,6.06,1542601,2.6,MIANWALI,31576,93835,298222,61065,44176,1795897,52717,34768,93584,572,5,40,62794,1,579,37,775,5608,139823,203759,1323393,20,1855,1795897,56636,977502,843309,128246,1341380,1550118,0.6286876202120204,âœ“,0.63059844476356,âœ“,296339,270901,11544,13894,40901,5244,237732,12462,198289,50020,0.9141591218165682,âœ“,296339,207663,259254,10880,26205,204768,31278,0.8748561613557446,âœ“,296339,278416,250062,46277,88737,181728,5917,1643,232,18082,0.9395185918829448,âœ“,1795897,916977,878855,65,1432505,363392,4791,743182,343364,1835,49088
Punjab,Sargodha,Sargodha,684799,4334448,6.33,3696212,2.7,SARGODHA,64940,202525,587574,118077,88473,4327263,107899,67518,190028,357,54,2,564,1,2340,419,31,779,3928529,54316,3353,48,7246,4327263,329224,2564735,2160405,226673,3237620,3734915,0.6672818304804147,âœ“,0.6866916650044245,âœ“,684321,657987,8541,17793,292459,16576,361281,14005,442498,145850,0.9615180595071612,âœ“,684321,471981,578632,13018,92671,464244,103304,0.8455563982400073,âœ“,684321,660905,447926,236395,246312,344058,1446,32262,5190,55053,0.965782140252893,âœ“,4327263,2190707,2136175,381,2722559,1604704,16579,1739755,846778,6120,140644
Sindh,Hyderabad,Badin,398066,1947081,4.89,1804958,1.27,BADIN,17427,39454,152688,33489,24034,1945417,30937,15830,49763,4335,0,1419,21626,0,166,221,1683,6225,53514,8424,7650,5,1825829,1945417,14320,537883,483693,381384,1319868,1634553,0.3664707379828892,âœ“,0.3290703941689257,âœ“,397892,159443,47455,190994,46925,690,328230,22047,175807,177832,0.4007192906617876,âœ“,397892,150653,127750,70829,199313,153331,197699,0.321067023212329,âœ“,397892,355209,193645,204247,165420,181114,9301,2915,1509,37633,0.8927271721974808,âœ“,1945417,1012056,933287,74,1516567,428850,1728,795751,250141,1213,40799
